company,year,quarter,earnings
Aareal Bank,2012,3,"27,000,000.00"
Aareal Bank,2012,4,"3,000,000.00"
Aareal Bank,2013,1,"27,000,000.00"
Aareal Bank,2013,2,"26,000,000.00"
Aareal Bank,2013,3,"28,000,000.00"
Aareal Bank,2013,4,"12,000,000.00"
Aareal Bank,2014,1,"190,000,000.00"
Aareal Bank,2014,2,"41,000,000.00"
Aareal Bank,2014,3,"41,000,000.00"
Aareal Bank,2014,4,"22,000,000.00"
Aareal Bank,2015,1,"40,000,000.00"
Aareal Bank,2015,2,"204,000,000.00"
Aareal Bank,2015,3,"51,000,000.00"
Aareal Bank,2015,4,"60,000,000.00"
Aareal Bank,2016,1,"55,000,000.00"
Aareal Bank,2016,2,"77,000,000.00"
Aareal Bank,2016,3,"46,000,000.00"
Aareal Bank,2016,4,"37,000,000.00"
Aareal Bank,2017,1,"42,000,000.00"
Aareal Bank,2017,2,"66,000,000.00"
Aareal Bank,2017,3,"51,000,000.00"
Aareal Bank,2017,4,"48,000,000.00"
Airbus,2012,1,"133,000,000.00"
Airbus,2012,2,"461,000,000.00"
Airbus,2012,3,"309,000,000.00"
Airbus,2012,4,"325,000,000.00"
Airbus,2013,1,"241,000,000.00"
Airbus,2013,2,"518,000,000.00"
Airbus,2013,3,"436,000,000.00"
Airbus,2013,4,"270,000,000.00"
Airbus,2014,1,"439,000,000.00"
Airbus,2014,2,"696,000,000.00"
Airbus,2014,3,"264,000,000.00"
Airbus,2014,4,"944,000,000.00"
Airbus,2015,1,"792,000,000.00"
Airbus,2015,2,"732,000,000.00"
Airbus,2015,3,"376,000,000.00"
Airbus,2015,4,"796,000,000.00"
Airbus,2016,1,"399,000,000.00"
Airbus,2016,2,"1,362,000,000.00"
Airbus,2016,3,"50,000,000.00"
Airbus,2016,4,"-816,000,000.00"
Airbus,2017,1,"608,000,000.00"
Airbus,2017,2,"894,000,000.00"
Airbus,2017,3,"348,000,000.00"
Airbus,2017,4,"1,023,000,000.00"
alstria office REIT,2012,1,"10,200,000.00"
alstria office REIT,2012,2,"11,500,000.00"
alstria office REIT,2012,3,"10,800,000.00"
alstria office REIT,2012,4,"7,400,000.00"
alstria office REIT,2013,1,"15,000,000.00"
alstria office REIT,2013,2,"14,000,000.00"
alstria office REIT,2013,3,"-4,900,000.00"
alstria office REIT,2013,4,"14,800,000.00"
alstria office REIT,2014,1,"4,000,000.00"
alstria office REIT,2014,2,"2,800,000.00"
alstria office REIT,2014,3,"12,200,000.00"
alstria office REIT,2014,4,"18,000,000.00"
alstria office REIT,2015,1,"-10,500,000.00"
